"Id","Url","AssociationTitle","Title","City","StartDate","EndDate"
"13250","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13250","Hockey Time Productions","Buffalo River Outdoor Classic - Jan 9-11, 2026","",,
"13416","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13416","Hockey Time Productions","Rock 'N Roll Cup - Jan 16-18, 2026","",,
"13417","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13417","Hockey Time Productions","Buckeye Classic - Jan 16-18, 2026","",,
"13418","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13418","Hockey Time Productions","Girls Three Rivers Cup - Jan 16-18, 2026","",,
"13419","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13419","Hockey Time Productions","Three Rivers Cup - Jan 16-18, 2026","",,
"13420","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13420","Hockey Time Productions","Irish South Bend Cup - Jan 16-18 2026","",,
"13421","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13421","Hockey Time Productions","Motown Cup - Jan 16-18, 2026","",,
"13545","https://gamesheetstats.com/api/useSeasonDivisions/getSeason/13545","USAH - Minnesota District","D15 Detroit Lakes - PeeWee B2 The Lakes Classic Tournament - Jan 23-25, 2026","",,
